ID,Latitude,Longitude
80,-340277.7,-7665926
81,-340277.7,-7665926
82,-340277.7,-7665926
83,-392685.5,-7688250
84,-392719.9,-7687817
85,-393888.1,-7686475
86,-468381.5,-7690203
87,-468381.5,-7690203
88,-468381.5,-7690203
