longitude,latitude
-7714399.405372412,-257574.69237189868
-7704429.478034087,-422888.1704175371
-7617591.825808281,36145.19649943494
-7585429.76455341,5315.5957613659975
-7587037.5154412305,2125.3709594312254
-7601510.457478864,29766.59536293103
-7585539.083508934,14772.977035208722
-7660605.40954413,-368216.131065046
-7670495.2532698475,-420446.9364415324
-7601510.457478864,-25514.6072987882
-7590189.722217026,-6378.663643577754
-7588645.941733012,136069.67429200604
-7585365.408204481,129607.8504891054
-7606013.472178174,-34444.663860274
-7602057.534687887,-73991.27753984048
-7590286.208497277,159454.29966676072
-7622223.1672603255,-65699.38265923185
-7585963.623142038,71299.61055062554
-7446165.423576755,95110.41853598035
-7759104.39360106,-46775.711291917505
-7743023.990134447,-176459.6543197532
-7721179.496285644,-86824.39300822318
-7759040.712656096,-46691.51459630601
-7657450.308179927,-75764.455692911
-7757496.932172082,-76542.61164774996
-7734919.14259337,-84961.94815837243
-7638471.456854575,-86824.39300822318
-7697752.627440726,36638.89917103559
-7676766.8614861565,-347904.71551562333
-7741383.723370183,-21177.137078958924
-7642301.962180536,-123497.98157471986
-7693015.151080408,-422917.8465324879
-7694858.039033199,-197256.0242534378
-7524321.722736988,167957.1514153866
-7524321.722736988,146699.69537604862
-7511456.917532295,-85046.14098752025
-7586233.78472674,15946.648767424138
-7609550.659212171,4252.017476652449
-7380882.034468756,149748.08677254137
-7601594.400542682,41001.84569307457
-7529145.747290692,136069.67429200604
-7580604.775136901,106307.00088194264
-7625632.027541588,14882.689843730632
-7513064.378961275,-89299.13998458903
-7679931.6114783855,-468735.4665929126
-7524670.134694973,148010.63429900084
-7578321.909746167,114556.24861486023
-7627076.427156945,-278720.12903344387
-7539737.046273833,103726.45251280494
-7596229.763360732,30056.18436828889
-7543615.794739919,110559.45608327477
-7538794.375315781,104180.56871810573
-7524536.211737986,146983.10754788131
-7590253.40316199,21261.335104165682
-7480311.146267305,-92705.08983447631
-7587037.804900069,14883.5828549507
-7589475.723743171,81109.47683679055
-7495295.465590269,-89197.08875795074
-7591861.829453775,10630.678494181953
-7651072.565055341,-84324.1233395109
-7455089.632609721,61795.78456125709
-7527537.32099891,138195.95672603676
-7513064.378961275,-87172.64407684628
-7609486.978267207,4209.918298270232
-7621962.654303647,15768.04657238995
-7499289.997592656,-27823.668855597174
-7585432.948600656,14883.5828549507
-7383448.56952343,175537.17708649338
-7567737.364802642,114773.09723305331
-7522716.866437574,144573.45952649933
-7480745.334528435,25552.879058117425
-7509980.677444456,-110346.81504282574
-7605502.094892845,77537.6295062484
-7625600.187069106,10588.579352095927
-7522713.006986365,148824.64366435018
-7617591.825808281,-55280.820264455244
-7522523.893877072,143970.15227655685
-7590257.262613202,-21266.438014694104
-7628716.693921208,-90179.33110899928
-7655838.987299737,-327259.3126258461
-7600012.025546567,-5281.533702006587
-7545304.30464431,-441957.53440280934
-7593306.229069131,-565377.7159087745
-7553267.606812256,123315.1944111321
-7553235.476880934,123230.11480554016
-7628234.262519954,-506173.4385801177
-7577388.887416141,106307.00088194264
-7585452.245856707,64882.94531355674
-7619926.7937903525,-218080.55085017683
-7543377.76308654,174298.65816466053
-7459006.975587907,102093.67193786406
-7588240.699355959,148051.70469846312
-7703811.965840481,50671.71523915221
-7539601.9654814815,169759.6764063259
-7577550.019504159,113854.67888450593
-7574172.999695377,140283.9626507092
-7538289.75207007,211985.1165230746
-7477580.584536206,218080.55085017587
-7586899.540060471,189668.00191710837
-7488435.291064432,186415.9309402439
-7440221.096823058,262388.89320422726
-7633782.223634382,-36319.969815077944
-7542010.2630365435,191338.6594966227
-7416578.774114341,142448.10461433438
-7420701.922328303,157464.61155874745
-7712437.839294913,-454640.5514796484
-7486795.0243001655,-188469.2035041742
-7714667.733717792,-450799.23937798105
-7603118.883770646,102055.40358335816
-7688348.1097046705,-405904.5617687284
-7466561.8513315525,31357.420735618605
-7547716.461650583,-380218.1953665905
-7693172.423717216,44650.38076234033
-7584680.3556147,113178.61981460436
-7495806.8428756,305726.76098892285
-7715685.567488159,2125.3709594312254
-7464477.747678133,-81683.52199250745
-7512904.211736059,324145.327641061
-7516495.624059557,331827.5241850335
-7614374.973224715,129692.03596816085
-7432878.490895965,-57165.02348351661
-7509150.895434299,-131317.06752651022
-7616704.1520299725,100856.32710127017
-7488483.5342045585,-136891.10687667946
-7535471.2913376605,198281.8581507371
-7688026.810391435,-405480.3800491721
-7487335.34746957,-136069.6742920056
-7469649.412299582,42519.943711223685
-7542010.2630365435,-286968.10385333945
-7423010.839014704,-93550.83392335703
-7415935.5000839075,-325207.3746703245
-7458389.463394302,-272094.7273115566
-7492159.661482116,-23387.972164864153
-7421402.412722923,-159454.29966675915
-7527473.640053944,-388919.7052624854
-7541946.582091577,-180625.8807359496
-7421724.676898963,-311187.26229688915
-7574172.999695377,-384588.12699869205
-7506632.603519749,-110558.5631696796
-7506632.603519749,-184962.0522537553
-7484118.494886007,-133944.65617239272
-7405322.00925631,31893.223666864098
-7451672.088563235,64033.84963841834
-7431051.040748012,-63785.85639142514
-7588645.941733012,-535340.9002485096
-7509848.491240513,-180710.05407114667
-7506632.603519749,-93550.83392335703
-7488942.80889855,-136069.6742920056
-7485727.239582514,-6378.663643577754
-7530754.173582474,-195547.14288440885
-7482511.033457026,-112684.96853957504
-7485695.080705305,6378.6636435794035
-7429443.579319034,-53154.23048778685
-7527537.32099891,-388919.7052624854
-7477686.719444481,-308212.30409856304
-7543457.557240307,-267278.20238396263
-7518693.388551111,-323755.7090498908
-7414970.637281398,-322658.34863204375
-7567708.418918568,-494998.10032530123
-7567472.027531953,-498576.11486835807
-7504894.210208469,-397466.4085415924
-7542010.2630365435,-329455.2407228577
-7543297.390015092,-73991.27753984048
-7480086.526206881,-134792.24126129757
-7543586.848855845,-329413.18317267956
-7545227.115620109,-337951.92030668183
-7461605.351115065,-89299.13998458903
-7449223.266770467,-317738.62045110646
-7506632.603519749,-142363.0289489122
-7577388.887416141,148824.64366435018
-7578997.313707923,144573.45952649933
-7548041.330956187,219429.4327961062
-7596654.302993838,102055.40358335816
-7582213.201428685,127566.98529541332
-7606334.771491409,121189.21987095715
-7611127.24503147,82920.9065447807
-7614374.973224715,95677.30723987173
-7585429.735607525,131818.77242536301
-7542010.2630365435,-565025.3676779623
-7415935.5000839075,-323932.8664531906
-7469646.2282523345,-116937.36858174611
-7451230.181399686,-106800.65845243313
-7511775.322257124,-576011.1546705873
-7449512.725611219,-288497.8284958984
-7517888.6929738205,-121189.21987095376
-7485752.9724734565,-512473.37716365786
-7542010.2630365435,-569264.9090267177
-7546674.409823873,-580040.3576067678
-7418212.576297828,-322556.3867925898
-7527213.127097266,-593955.543304334
-7472862.405431936,-125440.64857575698
-7545923.74656352,-588660.3374017758
-7704429.478034087,-78711.23851474709
-7660045.789118677,-1275.7328799996862
-7632064.767845916,142363.02894891525
-7683520.901103719,-140322.22777491776
-7661010.651921186,-3827.198488712998
-7659080.926316165,-1275.7328799996862
-7788083.083011614,-199883.0900256379
-7622416.139820826,138195.95672603676
-7657793.79933762,-74416.07528580232
-7647801.680154837,-314909.0757611528
-7654767.989588952,61196.210757557776
-7660634.355428207,-2793.85495479302
-7604662.664254662,129607.8504891054
-7681948.174735629,-114811.3646260575
-7415935.5000839075,-321383.82124467415
-7414970.637281398,-321383.82124467415
-7472862.405431936,17009.331632768117
-7415935.5000839075,-322658.34863204375
-7477416.557859779,23001.426994441143
-7508176.384003765,-114811.3646260575
-7501808.289507205,-199755.56313903874
-7422689.539701471,-311187.26229688915
-7493703.4419661295,-133944.65617239272
-7409982.296592427,-179682.117504457
-7476078.293152699,-148824.64366434872
-7395486.197847532,83309.98059259761
-7429443.579319034,-63785.85639142514
-7418186.525002161,-46775.711291917505
-7459996.92482328,-91424.3528997911
-7512556.861127156,-224889.91974884717
-7660045.789118677,-2551.465722175193
-7726910.781332546,-2168.745875746878
-7716837.613674355,2053.9299206371934
-7683523.795692127,-21261.335104166632
-7689956.535996454,-161579.171823833
-7628847.915262351,140322.22777491732
-7712469.679767395,-74416.07528580232
-7725334.195513247,-85046.14098752025
-7657794.445795696,-76542.61164774996
-7612767.511795737,93550.83392335894
-7683491.955219643,-36103.09781455312
-7587118.235863287,184962.05225375763
-7693140.5832447335,-148740.46227128644
-7680307.907971363,-306088.76018767525
-7567713.82215026,180746.27410517327
-7487335.34746957,-354900.6070575764
-7550051.429632654,-577744.699615564
-7480262.90312718,-132133.4075310682
-7694780.850008998,-184962.0522537553
-7686739.683412888,-312461.8648534808
-7546834.577049089,-567145.7976998199
-7544530.262758251,-567993.7912758028
-7540161.585906937,-588060.0931842343
-7485726.921177789,-131818.35150014362
-7469645.55284837,-176459.27170844548
-7492159.661482116,-138195.9567260347
-7514672.805253057,-323082.76413073245
-7517888.6929738205,-191338.659496624
-7393915.208232487,137905.9054278342
-7426163.045790502,-174249.04588491694
-7541367.664410071,-567527.393826661
-7442874.4695299575,62229.5185501974
-7680307.907971363,-308212.30409856304
-7514673.1236577835,-208342.23507513155
-7423010.839014704,-172208.4312303549
-7578997.313707923,127566.98529541332
-7583821.627720467,119063.27361737777
-7496983.975494661,-499282.53938989725
-7493767.122911095,-488675.51273360976
-7517888.6929738205,-187086.7532493714
-7506632.603519749,-195589.22740172708
-7517888.6929738205,-206215.99990147876
-7508240.064948731,-244470.2388806084
-7506632.603519749,-201965.5956713387
-7431051.040748012,-59532.710288250666
-7612767.511795737,138195.95672603676
-7411670.806496817,86352.4040743717
-7574172.999695377,-573505.5347606217
-7426226.726735469,-265720.2655676953
-7603118.883770646,135985.49011255306
-7431051.040748012,-57407.40548690933
-7548470.019499342,-584032.5068017535
-7615983.399516499,136069.67429200604
-7424619.265306489,-212592.1160704618
-7485726.921177789,-133944.65617239272
-7429443.579319034,-57407.40548690933
-7509848.491240513,-116936.47567995304
-7437483.781052342,-129692.03596816177
-7540402.801607565,-565025.3676779623
-7505024.177227969,-138195.9567260347
-7509848.491240513,-119062.85267988766
-7548470.019499342,-583715.8372770819
-7569348.685682833,112685.3512151792
-7678699.481679583,-25514.6072987882
-7612767.511795737,133944.65617239423
-7401944.9894475285,153038.79042929047
-7773577.335638695,-191338.659496624
-7590189.722217026,-550099.6421653948
-7590253.40316199,-556544.4558808722
-7662618.113350164,-74416.07528580232
-7656186.33790864,-212507.9523528559
-7501808.289507205,-31893.22366686426
-7509848.491240513,-53154.23048778685
-7654256.612303621,-210467.61143366876
-7680307.907971363,-36145.57921474422
-7670659.279946275,85051.24358287062
-7487040.099452004,-82778.03339434827
-7667442.427362709,-342199.4566007997
-7612767.511795737,97802.49705240902
-7624023.601249807,125440.64857575533
-7630456.341554132,10630.678494181953
-7704429.478034087,78667.86604287813
-7588645.941733012,-556544.4558808722
-7627400.621058588,-652929.2692823403
-7479294.180873462,-82920.90654478248
-7550158.529403731,-281443.1467973732
-7506632.603519749,-82920.90654478248
-7402856.205878218,136212.27714982483
-7506632.603519749,-44650.380762340006
-7571861.767338248,180129.51265500163
-7501808.289507205,-74373.9782227766
-7501245.446439991,-514450.2468101715
-7416364.323707853,13466.06761189542
-7598294.569758101,-4252.017476655496
-7635870.186739012,-581383.3869510965
-7609872.923388209,-67612.90454463933
-7511456.917532295,-80794.38962188967
-7598294.569758101,10588.579352095927
-7693044.096964483,-458205.81908848387
-7605502.094892845,-30158.242156613902
-7635280.655566677,-581983.6741560367
-7513000.698016309,-67995.6083846004
-7601478.617006381,-53070.03428058128
-7514255.01965957,-68505.87988882336
-7701148.944505557,-456805.19089909724
-7609550.659212171,-68037.7057959348
-7418830.088491434,156903.4154167459
-7582181.360956202,-57407.40548690933
-7469909.925256258,41040.11709310041
-7638497.218691403,-571385.6270151305
-7570956.147111814,-57407.40548690933
-7477686.719444481,74373.97822277658
-7566132.508503229,-53155.12347782221
-7423384.240919277,195661.9188258596
-7628847.915262351,-174333.22095646936
-7561311.378537933,-439869.0404872527
-7587015.323596772,-10307.9183961814
-7660605.40954413,-584532.3083243872
-7638432.862342475,-562820.9360599911
-7556564.253549589,-416129.09964929573
-7574491.404420205,19212.515737392092
-7484469.70494612,-6595.53815111676
-7644929.283591767,-518373.3457175414
-7648145.17131253,-505646.517897657
-7636889.081858462,-569180.9595281372
-7481893.52126342,96672.29505763548
-7561600.837378684,-439588.87399724487
-7618421.60781844,-555302.8506520143
-7630456.341554132,-174333.22095646936
-7562806.915881823,-280135.18512823945
-7486048.895894987,62297.51271210505
-7444611.222574473,143115.5716633628
-7628099.181727603,-508578.91332507535
-7437242.854810554,143936.09663795572
-7641578.315078654,-543852.8874476674
-7685132.221983909,-490797.5084278498
-7485542.342923667,195079.49420224555
-7485062.51665198,194704.04839246726
-7625600.187069106,-255096.15232389088
-7615951.5590440165,-250761.18863719044
-7633434.873025479,-174899.48903393745
-7615983.399516499,-250845.33875503368
-7629247.368462591,-308880.20823302644
-7636889.081858462,-116936.47567995304
-7547610.326742305,108356.88850631901
-7416900.362886418,155627.96629536714
-7416900.362886418,154352.51256016103
-7421724.676898963,156903.4154167459
-7414005.77447889,150526.12404968424
-7421724.676898963,155627.96629536714
-7417865.225688925,151801.59139950463
-7633672.904678859,-571385.6270151305
-7442294.972930771,128229.50222773274
-7422689.539701471,155627.96629536714
-7421724.676898963,158178.85988648082
-7422689.539701471,159454.29966676072
-7525929.85956993,-318834.7379224384
-7509848.491240513,-80794.38962188967
-7520352.952571428,-56807.82884075879
-7638432.862342475,-543738.3811732954
-7514255.01965957,-65571.81437630625
-7627240.453833371,-505646.517897657
-7488165.12947973,-46321.55934730685
-7423654.402503979,159454.29966676072
-7416927.186072326,149760.84149534104
-7635345.301374446,-573251.1534096663
-7508002.708699312,-7156.860379232419
-7638496.543287439,-507768.18524981395
-7611962.816218444,-646892.8985636437
-7636889.081858462,-573505.5347606217
-7446990.670731741,127311.87646228513
-7509816.6507680295,-80752.2929383752
-7638496.543287439,-543822.3524539354
-7538231.860301918,171039.28067253556
-7551659.537519712,123315.15614444566
-7570956.147111814,110558.5631696822
-7634959.356253442,-34444.663860274
-7534640.44797842,162784.57809471057
-7534023.997133897,156478.30873954823
-7574172.999695377,106264.90602847829
-7564524.371670288,127566.98529541332
-7445523.982785647,-42523.77084685381
-7516281.231544841,-59448.514631852326
-7786442.816247351,-204091.44381282857
-7535578.487595019,-184962.0522537553
-7633608.54832993,-124505.66940016784
-7681916.044804306,104181.46164284532
-7485058.271255651,30260.299939216773
-7653291.749501113,-127566.98529541293
-7538794.375315781,-293341.8749630556
-7654575.01702845,-72290.42576371826
-7509848.809645238,-55281.241244588615
-7599902.031187083,21261.335104165682
-7595077.717174538,-548064.0827897303
-7550051.429632654,-180710.90855791693
-7590253.40316199,8504.033552966106
-7590253.40316199,-548064.0827897303
-7521105.545557386,-191338.659496624
-7678699.481679583,-306088.76018767525
-7627240.453833371,-463213.5666964634
-7627240.453833371,-38271.816397216986
-7513064.378961275,-78667.8660428796
-7598294.569758101,-8504.033552969011
-7693761.954889549,-467280.2159356575
-7736591.249830119,-19135.972020523695
-7591862.118912617,-8504.926565398971
-7633608.54832993,6378.6636435794035
-7648145.17131253,17009.331632768117
-7620775.873056561,140322.22777491732
-7599838.3502421165,21177.13707896033
-7714078.106059177,2125.3709594312254
-7542014.1224877555,110559.45608327477
-7517888.6929738205,-57407.40548690933
-7606302.931018925,-44650.380762340006
-7550051.429632654,163705.68873314594
-7633994.493450935,-568417.7788975224
-7591540.53014054,-552135.1597832921
-7701212.625450524,-548064.0827897303
-7783162.2827188205,-199755.56313903874
-7683524.085150966,112685.3512151792
-7514672.805253057,-57407.40548690933
-7681851.688455379,112642.8742216244
-7578997.313707923,-393123.7567029972
-7686739.683412888,-42523.77084685381
-7596686.14346632,-31893.22366686426
-7595077.717174538,-4252.017476655496
-7693172.423717216,-461091.06129029155
-7541946.582091577,-182793.97432565616
-7511456.917532295,-191338.659496624
-7574172.999695377,-382549.69152616843
-7678699.481679583,-312461.8648534808
-7625632.027541588,-509889.8107631407
-7638432.862342475,116852.28778887779
-7574172.999695377,-390958.0489998867
-7625632.317000429,-10631.061213653187
-7551658.891061633,129692.03596816085
-7617591.825808281,-522616.1303245128
-7619199.287237261,-524736.1855921365
-7638432.862342475,-622206.6721273338
-7681919.228851554,114811.36462606043
-7633608.54832993,-278426.91793689586
-7519497.119265602,-63785.85639142514
-7632439.993341182,-97307.27496260781
-7695938.68537201,-464572.10292434675
-7701110.349993458,-550532.1931583794
-7554875.743645199,-180625.8807359496
-7553003.909808332,-176633.99749088258
-7654546.071144375,-329413.18317267956
-7633672.229274896,-579864.8466722048
-7574172.999695377,102055.40358335816
-7574172.999695377,10630.678494181953
-7511456.917532295,-78667.8660428796
-7481140.928277463,-67255.71413122685
-7683523.795692127,121189.21987095715
-7471926.488513502,-17821.971236037887
-7511456.917532295,-63785.85639142514
-7707613.525282367,-444071.4618637261
-7603118.883770646,-48860.215408620345
-7786442.816247351,-201923.5121262818
-7595988.547660106,-631498.8391645431
-7587005.6749687465,-4209.918298268243
-7598294.569758101,-38271.816397216986
-7552463.586638926,113747.52996292191
-7472862.405431936,-189212.71416714948
-7501620.6719352575,-514662.359800682
-7477686.719444481,-123230.1148055395
-7472862.405431936,-80794.38962188967
-7509816.6507680295,-206131.8341355851
-7541019.242803458,-568170.4561922882
-7538741.095591828,-564107.1065333497
-7587037.5154412305,-537460.693678438
-7582213.201428685,-446236.28973013593
-7545038.967373618,-582160.4529180555
-7461605.351115065,-308212.30409856304
-7520783.281381346,-201044.85722890656
-7542814.958613836,-572444.7600345522
-7408506.056504589,-184962.0522537553
-7395217.965988435,137735.4970027392
-7414970.637281398,-195589.22740172708
-7411753.7846978335,-36145.19649943146
-7516281.231544841,-140322.22777491776
-7435607.981629354,-128275.6258173955
-7461605.351115065,-180710.05407114667
-7589422.656289032,-541913.8969358609
-7541019.242803458,-569265.7612409453
-7408537.896977072,-184962.0522537553
-7471222.138667672,-14798.491642131976
-7590253.40316199,-543822.3524539354
-7548067.671710695,-588624.729802419
-7503415.750936186,-34018.57362389382
-7611239.169116562,-635736.5494869124
-7508240.064948731,-53154.23048778685
-7587037.804900069,15946.648767424138
-7621799.592490024,-62899.25443720981
-7535578.487595019,114811.36462606043
-7439092.207344121,-148824.64366434872
-7492159.661482116,-25514.6072987882
-7511456.917532295,-36103.09781455312
-7634744.191848483,-180745.76396388016
-7617591.825808281,-59448.514631852326
-7587573.873024517,-569937.07474603015
-7511456.917532295,-48902.313677693455
-7500200.181620148,-514132.08289322164
-7493767.122911095,-95677.30723987347
-7556187.95705661,76784.98792064187
-7538260.806185994,-565555.7975577754
-7603118.883770646,-46691.51459630601
-7588645.941733012,-565492.1970065762
-7630617.473642153,-86237.59590226384
-7542010.2630365435,102055.40358335816
-7603118.883770646,-46776.604287145696
-7590253.40316199,-554425.0669973585
-7509816.6507680295,-65826.95092267598
-7598321.373646756,-643786.5784811882
-7635280.655566677,-507768.18524981395
