longitude,latitude
-7732598.7440396175,-507997.5309943859
-7679931.6114783855,-468735.46607739385
-7690202.576011092,-468381.5222674848
-7687340.792938851,-393368.35173051385
-7665925.663037165,-340277.69250344706
-7655838.987299735,-327259.31226286164
-7647801.680154837,-314909.0754116596
-7680307.907971362,-306088.75984783005
-7635753.438339906,-283053.73750344786
-7627076.427156945,-278720.1287236122
-7624270.606127246,-267534.45733806764
-7617591.825808278,-259345.60658696704
-7598294.5697580995,-244475.33876142747
-7643331.470790812,-226849.80960593655
-7795544.367063418,-217686.51963050073
-7791425.367759504,-204866.79374021073
-7763536.008452984,-197930.6467022507
-7789658.703968112,-193463.31354900976
-7648397.579421666,-192218.7475832454
-7773577.335638695,-191338.65928327283
-7648145.171312529,-180710.0538695878
-7707200.564002893,-172533.78241665792
-7783708.3950650385,-170790.1961473162
-7748146.253780405,-166494.64097467394
-7757746.252720249,-165305.57339158424
-7689956.535996454,-161579.17164352373
-7780010.075943023,-159454.29948880855
-7683520.901103716,-140322.2276182492
-7803325.985565649,-136189.57278942794
-7742255.9593436485,-130046.63508104823
-7642301.962180536,-123497.98143679125
-7735622.5275764,-122523.4558482573
-7696146.709792231,-117922.11053461363
-7681948.174735628,-114811.36449781305
-7728185.365094661,-94665.73441704077
-7707557.563239819,-94016.69414484754
-7628716.693921208,-90179.33100823178
-7720210.774031924,-87597.43348315534
-7638471.456854574,-86824.39291120005
-7704429.4780340865,-78711.23842678334
-7657204.268165288,-75266.94562535902
-7751838.0118353665,-71712.92867600673
-7726939.727216622,-70164.25994241291
-7749013.85841242,-57512.01237353843
-7725786.716167623,-56098.54188254967
-7618266.264907234,-54114.83212093062
-7712035.491506267,-53405.543308727494
-7735336.928186858,-50169.08806431359
-7690781.976123997,-48673.196964092866
-7680799.02313784,-47936.604451242325
-7611159.374962791,-42524.15351287568
-7674390.404403577,-38842.06123248213
-7620807.713529042,-38271.816354432274
-7634959.356253442,-34444.66382176319
-7723586.828977904,-33029.89072124258
-7644607.984278532,-29341.779658611595
-7675060.019188516,-21595.575698350065
-7622227.991574338,-16973.611186901002
-7680170.897453409,-11477.764174632483
-7733277.4285349,-11407.981669046902
-7661010.651921186,-3827.1984844367626
-7708537.863847171,474.5726328434108
-7716026.16405744,6524.097130195351
-7600242.627756366,18256.99484040923
-7601855.878362161,31538.57313845498
-7697752.627440725,36638.89913007272
-7611749.581539089,36813.67238818452
-7713000.354308776,37279.30907049489
-7620807.713529042,38271.81635443248
-7691015.955353609,44258.73776621486
-7682111.236549252,49944.564200726236
-7703811.965840479,50671.7151825043
-7719353.011000493,63825.4025731111
-7589475.723743171,81109.47674614644
-7677249.29288741,81993.25095032994
-7723377.7432086,93714.3697148157
-7612767.511795735,97802.49694313374
-7584680.355614699,113178.61968817763
-7643372.959891321,113637.82972495782
-7681919.228851554,114811.36449781511
-7614374.973224714,129692.03582333171
-7622416.139820826,138195.95657173914
-7575784.320575566,146699.69521228678
-7588240.699355959,148051.7045331986
-7600600.591856097,157770.71798849167
-7590254.078565955,159454.29948881041
