Hs_south,Hs_north
0.382461,0.379957
0.362297,0.383026
0.364493,0.40293
0.311536,0.39971
0.385516,0.384842
0.36768,0.401615
0.307918,0.420635
0.328614,0.411029
0.345055,0.458544
,0.412546
,0.391462
,0.413295
,0.389582
,0.377469
,0.405723
,0.380711
,0.365818
,0.397661
,0.444283
